[Machine initialized with clock_rate: 1]
[internal_event, 20:26:16, 1]
[internal_event, 20:26:17, 2]
[receive_event, 20:26:18, 0, 15]
[receive_event, 20:26:19, 2, 21]
[receive_event, 20:26:20, 2, 24]
[receive_event, 20:26:21, 3, 26]
[receive_event, 20:26:22, 3, 29]
[receive_event, 20:26:23, 4, 34]
[receive_event, 20:26:24, 4, 37]
[receive_event, 20:26:25, 5, 39]
[receive_event, 20:26:26, 6, 48]
[receive_event, 20:26:27, 7, 50]
[receive_event, 20:26:28, 8, 52]
[receive_event, 20:26:29, 9, 59]
[receive_event, 20:26:30, 10, 61]
[receive_event, 20:26:31, 11, 63]
[receive_event, 20:26:32, 11, 67]
[receive_event, 20:26:33, 11, 72]
[receive_event, 20:26:34, 12, 74]
[receive_event, 20:26:35, 13, 77]
[receive_event, 20:26:36, 15, 79]
[receive_event, 20:26:37, 15, 81]
[receive_event, 20:26:38, 15, 83]
[receive_event, 20:26:39, 15, 85]
[receive_event, 20:26:40, 17, 94]
[receive_event, 20:26:41, 16, 98]
[receive_event, 20:26:42, 15, 100]
[receive_event, 20:26:43, 14, 102]
[receive_event, 20:26:44, 16, 113]
[receive_event, 20:26:45, 15, 119]
[receive_event, 20:26:46, 15, 121]
[receive_event, 20:26:47, 16, 123]
[receive_event, 20:26:48, 18, 126]
[receive_event, 20:26:49, 17, 128]
[receive_event, 20:26:50, 17, 130]
[receive_event, 20:26:51, 17, 133]
[receive_event, 20:26:52, 18, 139]
[receive_event, 20:26:53, 18, 145]
[receive_event, 20:26:54, 20, 147]
[receive_event, 20:26:55, 20, 152]
[receive_event, 20:26:56, 19, 154]
[receive_event, 20:26:57, 19, 156]
[receive_event, 20:26:58, 18, 177]
[receive_event, 20:26:59, 18, 180]
[receive_event, 20:27:00, 19, 182]
[receive_event, 20:27:01, 22, 189]
[receive_event, 20:27:02, 23, 198]
[receive_event, 20:27:03, 24, 200]
[receive_event, 20:27:04, 26, 205]
[receive_event, 20:27:05, 25, 207]
[receive_event, 20:27:06, 26, 209]
[receive_event, 20:27:07, 25, 216]
[receive_event, 20:27:08, 24, 222]
[receive_event, 20:27:09, 23, 227]
[receive_event, 20:27:10, 22, 229]
[receive_event, 20:27:11, 23, 232]
[receive_event, 20:27:12, 23, 238]
[receive_event, 20:27:13, 24, 240]
[receive_event, 20:27:14, 24, 242]
[receive_event, 20:27:15, 23, 247]
